category_id_clean,dominant_canonical_family,dominant_count,mapped_total,dominant_percentage,mapping_strength
618.0,Healthcare,6,7,85.71428571428571,MODERATE
619.0,Shopping & Retail,5,10,50.0,AMBIGUOUS
620.0,Utilities & Bills,5,8,62.5,WEAK
621.0,Shopping & Retail,3,6,50.0,AMBIGUOUS
623.0,Transfers & Withdrawals,16,16,100.0,STRONG
625.0,Transfers & Withdrawals,50,153,32.6797385620915,AMBIGUOUS
626.0,Transfers & Withdrawals,162,198,81.81818181818183,MODERATE
627.0,Income,8,22,36.36363636363637,AMBIGUOUS
628.0,Fuel,17,38,44.73684210526316,AMBIGUOUS
629.0,Shopping & Retail,4,11,36.36363636363637,AMBIGUOUS
630.0,Other,9,12,75.0,WEAK
632.0,Healthcare,12,13,92.3076923076923,MODERATE
635.0,Income,23,23,100.0,STRONG
638.0,Income,1,1,100.0,STRONG
650.0,Fuel,9,10,90.0,MODERATE
1626034674.0,Fuel,3,3,100.0,STRONG
1626052914.0,Income,1,1,100.0,STRONG
1626074738.0,Fuel,1,1,100.0,STRONG
1626699771.0,Fuel,1,1,100.0,STRONG
1652206412.0,Income,1,1,100.0,STRONG
