description,vch_type,proposed_family,proposed_canonical_id,transaction_support,dominant_source_category_id,distinct_source_category_ids,source_category_purity,review_status,approved,evidence_note,risk_level,possible_synonym,synonym_review_note
imraan bread,Expense,Groceries,2009,5,603,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
milk yugart,Expense,Groceries,2009,5,603,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
medicine,Transfer,Healthcare,2005,5,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
moona medicine,Expense,Healthcare,2005,5,5,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
mother medicine,Expense,Healthcare,2005,5,9,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
patanjali medicine,Expense,Healthcare,2005,5,608,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
shoes,Transfer,Shopping,2006,5,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
arsalan petty cash,Transfer,Transfers,2007,5,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
cash paid,Transfer,Transfers,2007,5,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
cash received,Transfer,Transfers,2007,5,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
received via atm,Transfer,Transfers,2007,5,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
taxi to work,Expense,Transport,2003,5,61,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
uber,Income,Transport,2003,5,507,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
city fuel,Expense,Fuel,2002,5,606,2,0.8,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
civic petrol,Expense,Fuel,2002,5,14,2,0.8,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
fruit vegetables,Expense,Groceries,2009,5,603,2,0.8,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
milk n bread,Expense,Groceries,2009,5,78,2,0.8,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
ring road toll,Expense,Transport,2003,5,602,2,0.8,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
petrol,Expense,Fuel,2002,1001,606,50,0.2877,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch,Expense,Dining,2001,800,6,37,0.3088,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
milk,Expense,Groceries,2009,498,5,41,0.3233,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,doodh,Possible multilingual/synonym case. Review before approval.
fuel,Expense,Fuel,2002,361,606,21,0.5097,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
fruits,Expense,Groceries,2009,336,5,35,0.6071,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
dinner,Expense,Dining,2001,320,6,33,0.4031,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
roti,Expense,Dining,2001,257,601,27,0.3424,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,bread,Possible multilingual/synonym case. Review before approval.
breakfast,Expense,Dining,2001,202,6,27,0.302,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
fruit,Expense,Groceries,2009,170,5,30,0.2588,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
medicine,Expense,Healthcare,2005,158,5,28,0.2785,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
bread,Expense,Groceries,2009,157,5,31,0.2994,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
eggs,Expense,Groceries,2009,153,5,24,0.5033,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
careem,Expense,Transport,2003,142,14,21,0.4789,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
